xg,playerCoordinates.x,playerCoordinates.y
0.025461031123996,18.9,30.0
0.19220964610577,3.2,40.7
0.072723411023617,19.1,51.1
0.019235415384173,25.7,61.0
0.62812745571136,3.3,47.4
0.15701545774937,9.7,60.3
0.038232751190662,24.8,55.8
0.7884,11.5,50.0
0.72097420692444,3.6,52.6
0.41839522123337,5.1,54.9
0.056842003017664,22.2,58.1
0.043037332594395,12.2,61.2
0.052499990910292,8.9,68.9
0.015115103684366,21.3,27.900000000000006
0.073288090527058,15.8,57.5
0.014653063379228,25.4,64.0
0.20096455514431,8.6,55.7
0.27945226430893,12.3,46.4
0.03858146071434,11.4,40.5
0.90266764163971,1.3,52.6
0.013606139458716,11.0,64.8
0.016802685335279,21.5,55.7
0.037182062864304,12.5,67.8
0.7884,11.5,50.0
0.065458074212074,12.9,60.5
0.018893275409937,25.1,47.5
0.17583408951759,12.5,53.0
0.060405839234591,18.2,58.2
0.015250303782523,29.3,49.3
0.013543942011893,26.6,62.3
0.18599766492844,15.0,52.0
0.023177424445748,23.4,63.4
0.0075910803861916,23.2,67.4
0.30972623825073,11.9,53.4
0.094113349914551,15.4,45.4
0.11894925683737,8.9,33.7
0.7884,11.5,50.0
0.025047443807125,9.5,44.2
0.011755015701056,14.7,47.2
0.22201985120773,10.3,54.5
0.22699810564518,6.4,49.3
0.26515370607376,8.0,63.0
0.063583984971046,9.6,49.3
0.29796701669693,6.7,45.1
0.078213751316071,10.1,55.0
0.025461031123996,18.9,30.0
0.77895319461823,23.4,35.0
0.025461031123996,18.9,30.0
0.028834844008088,23.2,47.2
0.034174051135778,23.8,34.8
0.069732375442982,9.8,48.2
0.099884055554867,8.6,64.0
0.7884,11.5,50.0
0.63366335630417,6.8,45.5
0.7884,11.5,50.0
0.17743653059006,7.1,56.2
0.069732375442982,9.8,48.2
0.7884,11.5,50.0
0.10148026794195,8.5,49.1
0.7884,11.5,50.0
0.16751427948475,7.7,53.2
0.15741938352585,1.9,60.3
0.11560513079166,15.9,54.0
0.020979382097721,10.7,76.9
0.023032076656818,21.7,40.5
0.52247798442841,4.9,47.4
0.039791505783796,21.4,54.8
0.047955274581909,15.6,45.4
0.014899699017406,10.8,61.7
0.30972623825073,11.9,53.4
0.17583408951759,12.5,53.0
0.08233418315649,9.1,53.7
0.015180584043264,18.2,27.299999999999997
0.054059766232967,18.7,50.0
0.025810126215219,21.0,26.599999999999994
0.7884,11.5,50.0
0.50334048271179,5.2,46.4
0.7884,11.5,50.0
0.039929486811161,14.8,35.5
0.87191200256348,3.7,48.8
0.034174051135778,23.8,34.8
0.051631979644299,1.8,60.3
0.7884,11.5,50.0
0.042035959661007,16.3,82.8
0.14806607365608,9.4,49.5
0.069732375442982,9.8,48.2
0.091302968561649,10.5,58.7
0.33544310927391,6.9,45.5
0.7884,11.5,50.0
0.60009491443634,4.9,45.5
0.22797746956348,4.5,43.2
0.099884055554867,8.6,64.0
0.17046825587749,9.0,65.8
0.7884,11.5,50.0
0.4374458193779,3.2,54.2
0.10986410826445,14.5,60.4
0.042613320052624,23.7,58.7
0.2003601193428,3.2,62.7
0.18655197322369,9.0,57.0
0.32896167039871,8.2,41.7
0.21388885378838,7.1,46.0
0.06668022274971,19.3,60.3
0.032866112887859,21.5,44.0
0.074300855398178,9.0,51.1
0.22201985120773,10.3,54.5
0.13585475087166,14.3,53.4
0.11216504126787,12.0,63.8
0.4374458193779,3.2,54.2
0.16527888178825,8.7,53.6
0.10986410826445,14.5,60.4
0.095440343022346,11.1,52.3
0.034289691597223,24.5,37.3
0.068278282880783,7.6,33.0
0.041056238114834,8.8,66.7
0.20096455514431,8.6,55.7
0.12655760347843,4.5,42.3
0.13051977753639,7.9,53.4
0.7884,11.5,50.0
0.7884,11.5,50.0
0.12344869226217,6.9,67.1
0.021135997027159,28.9,56.9
0.7884,11.5,50.0
0.017084902152419,14.1,45.0
0.17662420868874,9.4,54.3
0.13385365903378,9.2,50.1
0.26515370607376,8.0,63.0
0.7884,11.5,50.0
0.7884,11.5,50.0
0.7884,11.5,50.0
0.050094194710255,19.7,50.9
0.017983859404922,17.8,29.299999999999997
0.069732375442982,9.8,48.2
0.26243823766708,46.9,60.3
0.056793294847012,12.0,54.2
0.04309244826436,8.2,58.5
0.50334048271179,5.2,46.4
0.54523730278015,14.3,47.6
0.7884,11.5,50.0
0.10986410826445,14.5,60.4
0.41839522123337,5.1,54.9
0.11916568130255,12.8,38.9
0.012229121290147,19.6,73.0
0.055650442838669,21.0,43.6
0.03919567912817,12.5,67.2
0.27945226430893,12.3,46.4
0.017843138426542,25.7,64.8
0.40400397777557,15.6,50.3
0.015688126906753,8.2,26.299999999999997
0.14806607365608,9.4,49.5
0.7884,11.5,50.0
0.039123386144638,20.8,63.0
0.7884,11.5,50.0
0.66899973154068,10.7,48.9
0.20039869844913,5.1,53.8
0.099806651473045,18.8,47.6
0.041611388325691,19.8,36.2
0.034339867532253,21.8,32.3
0.041910164058208,18.8,45.7
0.069839917123318,8.4,47.8
0.029817465692759,23.5,46.6
0.47326856851578,4.0,52.1
0.06422109156847,23.4,43.2
0.63366335630417,6.8,45.5
0.23191326856613,3.9,44.8
0.055685374885798,3.5,36.6
0.23191326856613,3.9,44.8
0.77895319461823,23.4,35.0
0.066418431699276,16.0,50.0
0.096754729747772,11.0,35.099999999999994
0.094113349914551,15.8,49.0
0.018672272562981,18.9,24.799999999999997
0.7884,11.5,50.0
0.1524533778429,8.0,49.1
0.027648359537125,26.8,38.7
0.7884,11.5,50.0
0.020764825865626,11.4,71.7
0.033693335950375,18.5,36.6
0.7884,11.5,50.0
0.041634071618319,10.6,36.3
0.70410615205765,2.6,52.2
0.010339095257223,4.0,62.8
0.012196476571262,7.3,75.9
0.010653275065124,25.7,43.5
0.056842003017664,22.2,58.1
0.035298090428114,9.8,30.099999999999994
0.022018250077963,3.6,33.3
0.66239815950394,3.2,49.1
0.23918735980988,5.4,50.4
0.15752932429314,15.6,52.0
0.31652280688286,6.6,53.2
0.24712020158768,7.9,54.3
0.11560513079166,15.9,54.0
0.056277386844158,6.7,64.9
0.066571101546288,11.0,37.4
0.87191200256348,3.7,48.8
0.040120664983988,24.2,60.8
0.015250303782523,29.3,49.3
0.1189626455307,3.2,59.2
0.022113876417279,22.8,57.0
0.14806607365608,9.4,49.5
0.025737239047885,26.1,58.1
0.027323307469487,26.5,38.7
0.66239815950394,3.2,49.1
0.7884,11.5,50.0
0.067913383245468,12.9,34.5
0.04551150277257,25.8,37.8
0.098383337259293,11.8,39.6
0.031711459159851,15.2,69.8
0.20096455514431,8.6,55.7
0.11560513079166,15.9,54.0
0.15752932429314,15.6,52.0
0.17583408951759,12.5,53.0
0.039843708276749,21.0,43.7
0.21388885378838,7.1,46.0
0.13036967813969,4.6,65.4
0.10687943547964,15.8,47.7
0.047099355608225,10.4,69.5
0.18248468637466,12.0,37.0
0.1330501139164,14.5,49.3
0.070374585688114,11.2,34.0
0.7884,11.5,50.0
0.047642592340708,21.6,56.0
0.7884,11.5,50.0
0.12401009351015,6.1,54.0
0.028626509010792,26.5,57.2
0.069601655006409,12.5,54.0
0.068278282880783,7.6,33.0
0.094113349914551,15.8,49.0
0.7884,11.5,50.0
0.019221439957619,26.3,40.8
0.016668040305376,25.1,59.3
0.014164580032229,30.4,44.7
0.030539374798536,21.3,46.1
0.014172879047692,30.1,46.3
0.02388658374548,18.8,29.400000000000006
0.77895319461823,23.4,35.0
0.061576969921589,14.5,58.5
0.033208217471838,20.7,67.7
0.7884,11.5,50.0
0.19458699226379,9.7,32.7
0.05502612516284,8.5,56.0
0.039123386144638,20.8,63.0
0.41839522123337,5.1,54.9
0.017735566943884,18.1,31.400000000000006
0.025266936048865,25.3,55.4
0.33544310927391,6.9,45.5
0.7884,11.5,50.0
0.013796020299196,25.7,72.8
0.067688584327698,8.1,44.9
0.066809684038162,7.8,65.8
0.7884,11.5,50.0
0.089120268821716,18.9,52.7
0.042388796806335,19.8,35.400000000000006
0.062687113881111,11.3,33.900000000000006
0.12214437872171,8.0,34.599999999999994
0.54257935285568,11.9,43.7
0.028496716171503,20.3,25.0
0.020561322569847,26.8,66.9
0.069040596485138,8.4,45.5
0.035247884690762,13.6,51.1
0.016146948561072,12.0,42.1
0.049914576113224,12.5,63.4
0.099884055554867,8.6,64.0
0.27053847908974,13.0,53.8
0.020906796678901,3.8,29.900000000000006
0.77895319461823,23.4,35.0
0.21641796827316,8.9,52.3
0.50334048271179,5.2,46.4
0.7884,11.5,50.0
0.020941244438291,26.2,61.5
0.13051977753639,7.9,53.4
0.16771671175957,13.1,47.3
0.033837456256151,15.0,33.8
0.14370803534985,16.6,54.0
0.10261054337025,17.7,48.4
0.021808583289385,11.1,27.700000000000003
0.018671808764338,25.9,36.0
0.17046825587749,9.0,65.8
0.77895319461823,23.4,35.0
0.054899893701077,21.3,58.1
0.031768936663866,18.3,16.200000000000003
0.7884,11.5,50.0
0.027625044807792,24.7,49.7
0.03749055787921,13.2,29.400000000000006
0.28690454363823,2.1,55.8
0.20096455514431,8.6,55.7
0.069540604948997,7.4,67.1
0.022435754537582,24.4,47.2
0.476352840662,3.2,54.7
0.31074351072311,8.2,40.3
0.15114656090736,11.1,40.7
0.047076772898436,22.1,37.0
0.7884,11.5,50.0
0.094113349914551,15.8,49.0
0.46757286787033,2.3,56.5
0.037195481359959,18.5,66.0
0.033649042248726,11.4,44.9
0.018495028838515,21.0,66.8
0.14704237878323,12.1,53.1
0.72097420692444,3.6,52.6
0.076308354735374,14.1,47.4
0.02255485765636,18.1,33.599999999999994
0.19445116817951,4.5,52.9
0.40400397777557,15.6,50.3
0.50334048271179,5.2,46.4
0.23033227026463,3.6,39.3
0.30972623825073,11.9,53.4
0.11216504126787,12.0,63.8
0.027282703667879,19.0,63.6
0.26515370607376,8.0,63.0
0.041910164058208,18.8,45.7
0.12835247814655,8.8,48.8
0.19960002601147,3.5,45.6
0.7884,11.5,50.0
0.7884,11.5,50.0
0.87191200256348,3.7,48.8
0.19960002601147,3.5,45.6
0.7884,11.5,50.0
0.7884,11.5,50.0
0.029476571828127,23.1,39.1
0.72097420692444,3.6,52.6
0.14806607365608,9.4,49.5
0.063217885792255,8.5,53.6
0.02388658374548,18.8,29.400000000000006
0.87191200256348,3.7,48.8
0.089349552989006,16.7,51.7
0.019513126462698,25.3,62.9
0.17583408951759,12.5,53.0
0.77895319461823,23.4,35.0
0.035902976989746,24.0,37.2
0.14195601642132,4.3,64.8
0.1725057810545,4.1,39.4
0.30972623825073,11.9,53.4
0.7884,11.5,50.0
0.24553187191486,6.1,46.0
0.045907963067293,23.0,54.9
0.18828135728836,5.2,50.2
0.054858196526766,21.2,51.7
0.081188373267651,3.6,37.5
0.7884,11.5,50.0
0.15752932429314,15.6,52.0
0.60009491443634,4.9,45.5
0.7884,11.5,50.0
0.016181398183107,24.0,36.6
0.041611388325691,19.8,36.2
0.030114211142063,17.6,69.7
0.039123386144638,20.8,63.0
0.10144618153572,9.0,64.1
0.045090511441231,23.8,41.3
0.22797746956348,4.5,43.2
0.19077797234058,8.2,54.6
0.056842003017664,22.2,58.1
0.025896560400724,15.7,68.4
0.15752932429314,15.6,52.0
0.19831444323063,8.3,52.9
0.13051977753639,7.9,53.4
0.26515370607376,8.0,63.0
0.067364364862442,19.2,50.0
0.11560513079166,15.9,54.0
0.26735204458237,9.6,53.1
0.027905935421586,24.8,59.3
0.30274218320847,7.7,50.9
0.032003570348024,12.4,44.7
0.7884,11.5,50.0
0.037140544503927,25.7,46.8
0.017703656107187,18.5,69.3
0.27489322423935,8.8,45.7
0.10261054337025,17.7,48.4
0.053215477615595,20.1,52.6
0.018672272562981,19.1,25.400000000000006
0.073555335402489,4.0,37.8
0.02388658374548,18.8,29.400000000000006
0.01022070646286,5.1,26.0
0.7884,11.5,50.0
0.10430993884802,1.9,41.6
0.061565544456244,20.8,33.2
0.060825299471617,7.3,60.5
0.7884,11.5,50.0
0.028967294842005,19.7,74.2
0.0095389056950808,22.0,23.299999999999997
0.3194200694561,3.5,50.3
0.12217886000872,8.5,67.2
0.66899973154068,10.7,48.9
0.7884,11.5,50.0
0.7884,11.5,50.0
0.052073333412409,20.3,38.7
0.034123346209526,4.2,68.9
0.7884,11.5,50.0
0.021906768903136,8.6,75.4
0.23033227026463,3.6,39.3
0.10347491502762,7.1,51.3
0.029091186821461,27.1,45.8
0.018779315054417,26.8,69.3
0.045293860137463,9.5,30.5
0.018668623641133,26.3,65.6
0.7884,11.5,50.0
0.016707099974155,17.9,70.9
0.036690838634968,20.7,70.7
0.79783707857132,4.2,48.7
0.1276504099369,12.2,32.8
0.017332714051008,23.2,29.700000000000003
0.022540286183357,28.7,48.8
0.14596743881702,10.1,58.5
0.0083812493830919,18.4,17.0
0.51557403802872,7.0,52.1
0.18828135728836,5.2,50.2
0.77895319461823,23.4,35.0
0.068278282880783,7.6,33.0
0.3194200694561,3.5,50.3
0.093072555959225,9.5,55.0
0.27489322423935,8.8,45.7
0.7884,11.5,50.0
0.23191326856613,3.9,44.8
0.043639242649078,2.9,66.0
0.026702707633376,24.6,51.9
0.3194200694561,3.5,50.3
0.04002283886075,21.7,56.3
0.13051977753639,7.9,53.4
0.016588168218732,18.4,30.5
0.1141047924757,9.5,54.2
0.7884,11.5,50.0
0.069732375442982,9.8,48.2
0.08907700330019,10.2,52.8
0.059669110924006,20.1,48.9
0.025647984817624,3.5,33.599999999999994
0.2172809690237,10.6,55.2
0.4374458193779,3.2,54.2
0.19944770634174,11.2,59.4
0.15199609100819,9.2,46.4
0.017694810405374,30.2,58.9
0.18828135728836,5.2,50.2
0.27945226430893,12.3,46.4
0.50334048271179,5.2,46.4
0.059799712151289,12.0,69.9
0.028109900653362,25.2,44.7
0.18828135728836,5.2,50.2
0.7884,11.5,50.0
0.08907700330019,10.2,52.8
0.27489322423935,8.8,45.7
0.042121116071939,10.6,51.0
0.3194200694561,3.5,50.3
0.029072130098939,16.3,35.400000000000006
0.17608803510666,18.1,50.3
0.24263156950474,4.9,45.8
0.3194200694561,3.5,50.3
0.074059374630451,15.4,34.0
0.016181398183107,24.0,36.6
0.22201985120773,10.3,54.5
0.045524396002293,20.6,37.9
0.096696093678474,8.0,43.6
0.019517036154866,25.3,57.0
0.031051356345415,5.7,65.4
0.7884,11.5,50.0
0.078839421272278,4.9,66.7
0.071080662310123,8.0,52.8
0.095259986817837,21.7,58.0
0.016181398183107,24.0,36.6
0.015696590766311,3.3,64.4
0.10004869103432,8.9,34.0
0.069732375442982,9.8,48.2
0.13585475087166,14.3,53.4
0.05561188980937,14.5,44.2
0.12541578710079,18.7,45.4
0.045948762446642,18.7,47.9
0.7884,11.5,50.0
0.025461031123996,18.9,30.0
0.019071932882071,18.7,73.4
0.36186894774437,3.5,55.0
0.028345359489322,4.6,62.6
0.28690454363823,2.1,55.8
0.10384266078472,8.0,49.9
0.0090493187308311,3.0,66.0
0.028989911079407,19.8,38.9
0.026142423972487,5.0,61.7
0.020200442522764,3.3,34.8
0.40260481834412,8.0,55.2
0.70410615205765,2.6,52.2
0.035784356296062,25.0,69.1
0.7884,11.5,50.0
0.059356458485126,9.7,46.3
0.047642592340708,21.6,56.0
0.017084902152419,14.0,43.7
0.35243436694145,9.3,63.6
0.72809600830078,5.4,46.4
0.0766826197505,8.2,65.8
0.38727775216103,6.9,48.3
0.044109173119068,13.6,55.0
0.01795500703156,25.3,59.3
0.7884,11.5,50.0
0.32896167039871,8.2,41.7
0.012864220887423,53.1,52.6
0.7884,11.5,50.0
0.040386334061623,3.2,34.0
0.069515906274319,20.7,43.4
0.030558362603188,15.7,36.8
0.7884,11.5,50.0
0.019811796024442,14.1,71.1
0.069515906274319,20.7,43.4
0.020576966926455,19.5,67.1
0.010401239618659,24.7,37.8
0.1680206656456,8.0,52.6
0.018535232171416,28.6,63.4
0.039327763020992,14.1,67.8
0.010288000106812,22.6,68.5
0.22699810564518,6.5,49.2
0.7884,11.5,50.0
0.037296742200851,22.6,54.8
0.30274218320847,7.7,50.9
0.025111638009548,18.4,68.5
0.0075910803861916,23.2,67.4
0.023032076656818,21.7,40.5
0.03410591557622,22.7,34.0
0.23918735980988,5.4,50.4
0.039668139070272,14.7,63.6
0.069732375442982,9.8,48.2
0.0075910803861916,23.2,67.4
0.020649122074246,23.1,55.7
0.7884,11.5,50.0
0.20258717238903,11.0,43.2
0.63366335630417,6.8,45.5
0.33081686496735,9.0,45.1
0.035221491008997,26.3,17.0
0.025461031123996,18.9,30.0
0.10547795891762,9.4,45.0
0.026367893442512,15.8,51.9
0.047642592340708,21.6,56.0
0.20819859206676,3.5,46.1
0.13151895999908,7.0,55.8
0.7884,11.5,50.0
0.017804114148021,11.0,31.299999999999997
0.030558362603188,15.7,36.8
0.042295694351196,13.0,17.299999999999997
0.62307018041611,8.2,47.3
0.024762874469161,23.4,70.1
0.042402669787407,12.2,64.4
0.069732375442982,9.8,48.2
0.40040698647499,8.5,35.400000000000006
0.54523730278015,14.3,47.6
0.7884,11.5,50.0
0.28690454363823,2.1,55.8
0.0097291516140103,24.7,75.0
0.023401476442814,22.6,32.0
0.12401009351015,6.1,54.0
0.19960002601147,3.5,45.6
0.14343942701817,7.9,43.7
0.22797746956348,4.5,43.2
0.35243436694145,9.3,63.6
0.30972623825073,11.9,53.4
0.069732375442982,9.8,48.2
0.030558362603188,15.7,36.8
0.023169355466962,24.6,37.3
0.41153791546822,6.0,52.3
0.02365761436522,24.7,69.2
0.21388885378838,7.1,46.0
0.7884,11.5,50.0
0.30274218320847,7.7,50.9
0.043639242649078,2.9,66.0
0.7884,11.5,50.0
0.7884,11.5,50.0
0.0076014334335923,22.5,64.4
0.032977409660816,23.7,52.8
0.017983751371503,8.8,72.3
0.013889970257878,28.6,63.7
0.026663463562727,47.3,45.5
0.097811482846737,18.9,50.7
0.043807711452246,22.3,46.5
0.08907700330019,10.2,52.8
0.41839522123337,5.1,54.9
0.51221311092377,5.1,47.0
0.7884,11.5,50.0
0.66239815950394,3.2,49.1
0.20888301730156,20.3,60.7
0.19898492097855,7.0,48.9
0.053321469575167,18.4,63.0
0.068862326443195,13.3,63.8
0.66239815950394,3.2,49.1
0.025733292102814,19.3,68.9
0.099884055554867,8.6,64.0
0.022700941190124,15.2,65.8
0.035533055663109,9.4,43.5
0.17822915315628,4.6,46.8
0.02150771394372,10.1,35.400000000000006
0.33544310927391,6.9,45.5
0.13858512043953,18.4,47.9
0.54523730278015,14.3,47.6
0.011204904876649,10.6,60.5
0.056842003017664,22.2,58.1
0.077796921133995,19.8,50.7
0.074479632079601,8.0,66.9
0.039123386144638,20.8,63.0
0.72097420692444,3.6,52.6
0.015452434308827,27.6,28.5
0.40418815612793,9.7,55.4
0.064221203327179,14.9,53.6
0.7884,11.5,50.0
0.30274218320847,7.7,50.9
0.26515370607376,8.0,63.0
0.14806607365608,9.4,49.5
0.073143869638443,54.4,65.6
0.085792236030102,3.1,61.1
0.13304196298122,4.5,38.5
0.024503013119102,22.3,25.5
0.049639161676168,23.0,62.4
0.062458045780659,18.9,47.3
0.033839602023363,30.1,47.1
0.33081686496735,9.0,45.1
0.015580963343382,22.0,34.400000000000006
0.030558362603188,15.7,36.8
0.12683482468128,9.0,44.9
0.036832392215729,15.7,67.9
0.41839522123337,5.1,54.9
0.060840342193842,19.5,50.7
0.053912248462439,7.9,68.2
0.015250303782523,29.3,49.3
0.20096455514431,8.6,55.7
0.069732375442982,9.8,48.2
0.1099900752306,13.8,64.0
0.02388658374548,18.8,29.400000000000006
0.078520745038986,9.4,43.6
0.089784778654575,8.3,60.9
0.034174051135778,23.8,34.8
0.10004869103432,8.9,34.0
0.7884,11.5,50.0
0.77546727657318,7.7,54.3
0.027981726452708,20.3,26.299999999999997
0.02386655844748,25.3,50.7
0.22797746956348,4.5,43.2
0.28690454363823,2.1,55.8
0.7884,11.5,50.0
0.031711459159851,15.2,69.8
0.02147027105093,22.5,38.7
0.022478375583887,22.0,60.6
0.3440705537796,10.0,56.9
0.7884,11.5,50.0
0.041910164058208,18.8,45.7
0.10118622332811,12.4,64.5
0.7884,11.5,50.0
0.056842003017664,22.2,58.1
0.065478891134262,14.8,67.5
0.089120268821716,18.9,52.7
0.013987603597343,26.5,69.3
0.055264890193939,21.2,45.4
0.065478891134262,14.8,67.5
0.026680184528232,30.9,46.4
0.045218795537949,16.9,35.599999999999994
0.7884,11.5,50.0
0.069515906274319,20.7,43.4
0.017870929092169,5.8,33.5
0.02756829559803,23.1,27.299999999999997
0.043639242649078,2.9,66.0
0.012787484563887,50.8,47.4
0.77895319461823,23.4,35.0
0.08935658633709,18.7,47.0
0.87191200256348,3.7,48.8
0.028828816488385,9.5,72.6
0.0060074296779931,11.8,80.9
0.12832795083523,12.8,53.8
0.010256871581078,27.2,76.5
0.35243436694145,9.3,63.6
0.10261054337025,17.7,48.4
0.025631010532379,21.8,51.2
0.022515259683132,13.0,55.2
0.19960002601147,3.5,45.6
0.10386030375957,6.9,45.2
0.7884,11.5,50.0
0.19634707272053,9.5,47.2
0.7884,11.5,50.0
0.19960002601147,3.5,45.6
0.035917986184359,21.9,58.9
0.026800289750099,21.7,46.6
0.0075910803861916,23.2,67.4
0.2168260961771,13.7,55.7
0.037547037005424,25.6,51.3
0.22699810564518,6.5,49.2
0.12210562825203,23.1,56.0
0.18828135728836,5.2,50.2
0.097008764743805,4.2,34.8
0.02879723906517,24.2,53.7
0.7884,11.5,50.0
0.10004869103432,8.9,34.0
0.077300801873207,14.6,38.0
0.15422940254211,13.2,41.2
0.26515370607376,8.0,63.0
0.22699810564518,6.5,49.2
0.14343942701817,7.9,43.7
0.055432561784983,5.2,65.2
0.0075910803861916,23.2,67.4
0.043159775435925,26.5,68.1
0.10004869103432,8.9,34.0
0.016181398183107,24.0,36.6
0.093903802335262,14.4,60.3
0.26466935873032,4.2,37.4
0.10388391464949,3.4,41.5
0.028539318591356,27.1,46.7
0.017918596044183,20.7,34.400000000000006
0.476352840662,3.2,54.7
0.72097420692444,3.6,52.6
0.025228139013052,24.6,31.099999999999994
0.094113349914551,15.8,49.0
0.0338428132236,15.7,63.4
0.70410615205765,2.6,52.2
0.7884,11.5,50.0
0.028155719861388,24.8,46.2
0.12401009351015,6.1,54.0
0.0084996894001961,9.9,61.5
0.03292191028595,17.6,34.2
0.037927009165287,15.6,39.7
0.025461031123996,18.9,30.0
0.047642592340708,21.6,56.0
0.7884,11.5,50.0
0.045135706663132,10.7,47.9
0.52414691448212,11.7,58.8
0.022811891511083,14.6,32.099999999999994
0.13386729359627,9.9,57.6
0.12214437872171,8.0,34.599999999999994
0.033956337720156,18.5,62.3
0.0075910803861916,23.2,67.4
0.025805843994021,23.8,50.5
0.01741112396121,3.3,27.400000000000006
0.10004869103432,8.9,34.0
0.016420459374785,23.1,71.4
0.7884,11.5,50.0
0.04688672721386,23.4,50.7
0.16527888178825,8.7,53.6
0.7884,11.5,50.0
0.10266532748938,13.2,36.4
0.021251479163766,20.9,27.200000000000003
0.061412014067173,15.6,51.3
0.30274218320847,7.7,50.9
0.094113349914551,15.8,49.0
0.7884,11.5,50.0
0.11216504126787,12.0,63.8
0.03440798074007,19.1,51.5
0.068980917334557,13.2,42.8
0.023032076656818,21.7,40.5
0.7884,11.5,50.0
0.44631516933441,4.3,43.5
0.0075910803861916,23.2,67.4
0.038350664079189,13.0,68.5
0.46757286787033,2.3,56.5
0.016932468861341,15.4,72.2
0.089120268821716,18.9,52.7
0.04630409181118,17.5,50.7
0.034174051135778,23.8,34.8
0.013777322135866,25.3,72.0
0.033834978938103,17.8,31.299999999999997
0.1583785712719,6.7,48.1
0.33639326691628,4.4,55.6
0.13599579036236,10.4,61.3
0.7884,11.5,50.0
0.090566724538803,7.3,57.2
0.056842003017664,22.2,58.1
0.48375400900841,4.6,53.0
0.079102113842964,14.1,61.0
0.026864301413298,18.1,44.3
0.044712103903294,18.1,45.4
0.035355128347874,20.5,66.0
0.069732375442982,9.8,48.2
0.51557403802872,7.0,52.1
0.094113349914551,15.8,49.0
0.19220964610577,3.2,40.7
0.7884,11.5,50.0
0.030558362603188,15.7,36.8
0.15706253051758,8.5,46.2
0.70410615205765,2.6,52.2
0.016206953674555,31.2,59.5
0.11638605594635,9.1,49.3
0.030000058934093,14.5,35.599999999999994
0.10055843740702,11.7,47.7
0.10004869103432,8.9,34.0
0.50334048271179,5.2,46.4
0.13585475087166,14.3,53.4
0.7884,11.5,50.0
0.7884,11.5,50.0
0.24712020158768,7.9,54.3
0.047618333250284,21.5,73.6
0.2168260961771,13.7,55.7
0.24712020158768,7.9,54.3
0.027587916702032,21.2,62.4
0.7884,11.5,50.0
0.029784888029099,24.0,58.7
0.080307461321354,8.5,46.6
0.089120268821716,18.9,52.7
0.016181398183107,24.0,36.6
0.12624625861645,2.2,40.5
0.15752932429314,15.6,52.0
0.66899973154068,10.7,48.9
0.24712020158768,7.9,54.3
0.30972623825073,11.9,53.4
0.10156442224979,8.9,68.4
0.70410615205765,2.6,52.2
0.46757286787033,2.3,56.5
0.099719017744064,7.4,52.8
0.22699810564518,6.5,49.2
0.046189773827791,10.0,53.9
